userID	endDate	COALESCE(feature82,0)	COALESCE(feature98,0)
6700	2012-12-04	8	1
6700	2012-12-05	24	1
6700	2012-12-07	16	1
6700	2012-12-10	30	1
6700	2012-12-13	19	1
6700	2012-12-14	6	1
6700	2012-12-17	10	1
6700	2012-12-18	9	1
6700	2012-12-20	1	1
6900	2012-12-03	25	1
6900	2012-12-04	16	1
6900	2012-12-05	7	1
6900	2012-12-06	38	1
6900	2012-12-07	23	1
6900	2012-12-10	1	1
6900	2012-12-11	18	1
6900	2012-12-12	9	1
6900	2012-12-13	82	1
6900	2012-12-14	65	1
6900	2012-12-18	11	1
6900	2012-12-20	72	1
6900	2012-12-21	25	1
7000	2012-12-01	13	1
7000	2012-12-03	5	1
7000	2012-12-07	15	1
7000	2012-12-10	23	1
7000	2012-12-11	7	1
7000	2012-12-18	10	1
7000	2012-12-19	11	1
7000	2012-12-20	12	1
7000	2012-12-21	20	1
7100	2012-12-22	37	1
7100	2012-12-26	23	1
7300	2012-12-06	7	1
7300	2012-12-07	3	1
7300	2012-12-14	39	1
7700	2012-12-03	6	1
7700	2012-12-04	15	1
7700	2012-12-05	7	1
7700	2012-12-06	27	1
7700	2012-12-07	4	1
7700	2012-12-10	12	1
7700	2012-12-11	213	1
7700	2012-12-12	5	1
7700	2012-12-14	76	1
7700	2012-12-17	8	1
7700	2012-12-18	21	1
7700	2012-12-20	33	1
7700	2012-12-28	22	1
8100	2012-12-07	2	1
8200	2012-12-05	3	1
8700	2012-12-04	9	1
8700	2012-12-05	1	1
8700	2012-12-07	2	1
8700	2012-12-10	2	1
8700	2012-12-11	6	1
8700	2012-12-12	1	1
8700	2012-12-14	19	1
8700	2012-12-18	10	1
8700	2012-12-19	1	1
8700	2012-12-20	7	1
8800	2012-12-03	156	1
8800	2012-12-04	22	1
8800	2012-12-05	13	1
8800	2012-12-06	15	1
8800	2012-12-07	158	1
8900	2012-12-03	62	1
8900	2012-12-05	29	1
8900	2012-12-06	189	1
8900	2012-12-07	126	1
8900	2012-12-10	289	1
8900	2012-12-11	76	1
8900	2012-12-12	46	1
8900	2012-12-13	132	1
8900	2012-12-14	71	1
8900	2012-12-18	2	1
8900	2012-12-19	6	1
8900	2012-12-20	159	1
9000	2012-12-17	233	1
9000	2012-12-18	4	1
9000	2012-12-20	5	1
9100	2012-12-03	85	1
9100	2012-12-04	2	1
9100	2012-12-05	1	1
9100	2012-12-06	6	1
9100	2012-12-07	9	1
9100	2012-12-09	5	1
9100	2012-12-10	69	1
9100	2012-12-11	15	1
9100	2012-12-13	3	1
9100	2012-12-14	13	1
9100	2012-12-17	30	1
9100	2012-12-18	15	1
9100	2012-12-24	8	1
9200	2012-12-04	22	1
9200	2012-12-05	22	1
9200	2012-12-06	7	1
9200	2012-12-10	8	1
9200	2012-12-11	22	1
9200	2012-12-12	7	1
9300	2012-12-02	49	1
9300	2012-12-04	6	1
9300	2012-12-06	41	1
9300	2012-12-08	9	1
9300	2012-12-10	33	1
9300	2012-12-11	14	1
9300	2012-12-12	17	1
9300	2012-12-18	44	1
9300	2012-12-19	39	1
9300	2012-12-20	63	1
9300	2012-12-29	5	1
9500	2012-12-04	6	1
9700	2012-12-04	20	1
9700	2012-12-05	2	1
9700	2012-12-11	5	1
9700	2012-12-12	1	1
9700	2012-12-17	2	1
9700	2012-12-19	6	1
9700	2012-12-29	1	1
9800	2012-12-03	6	1
9800	2012-12-05	12	1
9800	2012-12-10	8	1
9800	2012-12-12	3	1
9800	2012-12-14	11	1
9800	2012-12-17	1	1
9800	2012-12-18	10	1
9900	2012-12-05	9	1
9900	2012-12-06	3	1
9900	2012-12-07	7	1
9900	2012-12-10	15	1
9900	2012-12-12	14	1
9900	2012-12-13	7	1
9900	2012-12-14	5	1
9900	2012-12-17	13	1
9900	2012-12-18	9	1
10200	2012-12-03	2	1
10200	2012-12-04	1	1
10200	2012-12-12	17	1
10200	2012-12-13	7	1
10200	2012-12-20	26	1
10600	2012-12-07	2	1
10600	2012-12-10	2	1
10600	2012-12-11	8	1
10600	2012-12-13	6	1
10800	2012-12-03	20	1
10800	2012-12-05	2	1
10800	2012-12-06	1	1
10800	2012-12-07	19	1
10800	2012-12-10	2	1
10800	2012-12-11	3	1
10800	2012-12-18	4	1
10800	2012-12-19	31	1
10900	2012-12-05	13	1
10900	2012-12-06	52	1
10900	2012-12-10	12	1
10900	2012-12-12	17	1
10900	2012-12-13	8	1
10900	2012-12-14	11	1
11000	2012-12-01	1	1
11000	2012-12-03	8	1
11000	2012-12-04	43	1
11000	2012-12-05	19	1
11000	2012-12-06	64	1
11000	2012-12-10	5	1
11000	2012-12-11	166	1
11000	2012-12-12	49	1
11000	2012-12-13	23	1
11000	2012-12-15	10	1
11000	2012-12-17	13	1
11000	2012-12-19	22	1
11000	2012-12-20	4	1
11100	2012-12-04	3	1
11100	2012-12-05	4	1
11100	2012-12-06	2	1
11100	2012-12-07	1	1
11100	2012-12-10	8	1
11100	2012-12-11	6	1
11100	2012-12-13	16	1
11100	2012-12-14	2	1
11100	2012-12-17	9	1
11100	2012-12-18	33	1
11100	2012-12-19	29	1
11200	2012-12-07	1	1
11300	2012-12-03	85	1
11300	2012-12-04	122	1
11300	2012-12-05	97	1
11300	2012-12-06	88	1
11300	2012-12-07	22	1
11300	2012-12-11	35	1
11300	2012-12-12	73	1
11300	2012-12-13	44	1
11300	2012-12-17	26	1
11300	2012-12-18	10	1
11400	2012-12-11	1	1
11400	2012-12-13	6	1
11400	2012-12-14	1	1
11400	2012-12-21	3	1
11500	2012-12-18	1	1
11500	2012-12-20	8	1
11600	2012-12-03	13	1
11600	2012-12-06	33	2
11600	2012-12-07	6	1
