userID	endDate	COALESCE(feature84,0)	COALESCE(feature88,0)
6700	2012-12-04	0	0
6700	2012-12-05	0	0
6700	2012-12-07	0	0
6700	2012-12-10	0	0
6700	2012-12-13	0	0
6700	2012-12-14	0	0
6700	2012-12-17	0	0
6700	2012-12-18	0	0
6700	2012-12-20	0	0
6900	2012-12-03	0	0
6900	2012-12-04	0	0
6900	2012-12-05	0	0
6900	2012-12-06	0	0
6900	2012-12-07	0	0
6900	2012-12-10	0	0
6900	2012-12-11	0	0
6900	2012-12-12	0	0
6900	2012-12-13	0	0
6900	2012-12-14	0	0
6900	2012-12-18	0	0
6900	2012-12-20	0	0
6900	2012-12-21	0	0
7000	2012-12-01	0	0
7000	2012-12-03	0	0
7000	2012-12-07	0	0
7000	2012-12-10	0	0
7000	2012-12-11	0	0
7000	2012-12-18	0	0
7000	2012-12-19	0	0
7000	2012-12-20	0	0
7000	2012-12-21	0	0
7100	2012-12-22	33	1
7100	2012-12-26	0	0
7300	2012-12-06	0	0
7300	2012-12-07	0	0
7300	2012-12-14	39	2
7700	2012-12-03	0	0
7700	2012-12-04	0	0
7700	2012-12-05	0	0
7700	2012-12-06	0	0
7700	2012-12-07	0	0
7700	2012-12-10	0	0
7700	2012-12-11	0	0
7700	2012-12-12	0	0
7700	2012-12-14	0	0
7700	2012-12-17	0	0
7700	2012-12-18	0	0
7700	2012-12-20	0	0
7700	2012-12-28	0	0
8100	2012-12-07	0	0
8200	2012-12-05	0	0
8700	2012-12-04	0	0
8700	2012-12-05	0	0
8700	2012-12-07	0	0
8700	2012-12-10	0	0
8700	2012-12-11	0	0
8700	2012-12-12	0	0
8700	2012-12-14	0	0
8700	2012-12-18	0	0
8700	2012-12-19	0	0
8700	2012-12-20	0	0
8800	2012-12-03	0	0
8800	2012-12-04	0	0
8800	2012-12-05	0	0
8800	2012-12-06	0	0
8800	2012-12-07	0	0
8900	2012-12-03	0	0
8900	2012-12-05	0	0
8900	2012-12-06	0	0
8900	2012-12-07	0	0
8900	2012-12-10	0	0
8900	2012-12-11	0	0
8900	2012-12-12	0	0
8900	2012-12-13	0	0
8900	2012-12-14	0	0
8900	2012-12-18	0	0
8900	2012-12-19	0	0
8900	2012-12-20	0	0
9000	2012-12-17	177	1
9000	2012-12-18	4	1
9000	2012-12-20	0	0
9100	2012-12-03	0	0
9100	2012-12-04	0	0
9100	2012-12-05	0	0
9100	2012-12-06	0	0
9100	2012-12-07	0	0
9100	2012-12-09	0	0
9100	2012-12-10	0	0
9100	2012-12-11	0	0
9100	2012-12-13	0	0
9100	2012-12-14	0	0
9100	2012-12-17	0	0
9100	2012-12-18	0	0
9100	2012-12-24	0	0
9200	2012-12-04	0	0
9200	2012-12-05	0	0
9200	2012-12-06	0	0
9200	2012-12-10	8	1
9200	2012-12-11	0	0
9200	2012-12-12	0	0
9300	2012-12-02	0	0
9300	2012-12-04	0	0
9300	2012-12-06	0	0
9300	2012-12-08	0	0
9300	2012-12-10	0	0
9300	2012-12-11	0	0
9300	2012-12-12	0	0
9300	2012-12-18	0	0
9300	2012-12-19	0	0
9300	2012-12-20	0	0
9300	2012-12-29	0	0
9500	2012-12-04	0	0
9700	2012-12-04	0	0
9700	2012-12-05	0	0
9700	2012-12-11	0	0
9700	2012-12-12	0	0
9700	2012-12-17	0	0
9700	2012-12-19	0	0
9700	2012-12-29	0	0
9800	2012-12-03	0	0
9800	2012-12-05	0	0
9800	2012-12-10	0	0
9800	2012-12-12	0	0
9800	2012-12-14	0	0
9800	2012-12-17	0	0
9800	2012-12-18	0	0
9900	2012-12-05	0	0
9900	2012-12-06	2	1
9900	2012-12-07	0	0
9900	2012-12-10	0	0
9900	2012-12-12	0	0
9900	2012-12-13	0	0
9900	2012-12-14	5	1
9900	2012-12-17	0	0
9900	2012-12-18	0	0
10200	2012-12-03	0	0
10200	2012-12-04	0	0
10200	2012-12-12	0	0
10200	2012-12-13	0	0
10200	2012-12-20	0	0
10600	2012-12-07	0	0
10600	2012-12-10	0	0
10600	2012-12-11	0	0
10600	2012-12-13	0	0
10800	2012-12-03	0	0
10800	2012-12-05	0	0
10800	2012-12-06	0	0
10800	2012-12-07	0	0
10800	2012-12-10	0	0
10800	2012-12-11	0	0
10800	2012-12-18	0	0
10800	2012-12-19	0	0
10900	2012-12-05	0	0
10900	2012-12-06	0	0
10900	2012-12-10	0	0
10900	2012-12-12	0	0
10900	2012-12-13	0	0
10900	2012-12-14	0	0
11000	2012-12-01	0	0
11000	2012-12-03	0	0
11000	2012-12-04	0	0
11000	2012-12-05	0	0
11000	2012-12-06	0	0
11000	2012-12-10	0	0
11000	2012-12-11	0	0
11000	2012-12-12	0	0
11000	2012-12-13	0	0
11000	2012-12-15	0	0
11000	2012-12-17	0	0
11000	2012-12-19	0	0
11000	2012-12-20	0	0
11100	2012-12-04	0	0
11100	2012-12-05	0	0
11100	2012-12-06	0	0
11100	2012-12-07	0	0
11100	2012-12-10	0	0
11100	2012-12-11	0	0
