13143	0.0	0.0	-0.996667664659	10	10
33068	31.5763738457	31.5763738457	-0.916834401735	9	9
4812	24.1808583343	24.1808583343	-0.972457883815	8	8
28758	25.1938679384	25.1938679384	-0.971038232125	7	7
31621	17.7358648748	17.7358648748	-0.973167980995	6	6
10608	2.97574138121	2.97574138121	-0.971754087111	5	5
30698	1.17744299519	1.17744299519	-0.982658973106	4	4
24610	23.8134923831	23.8134923831	-0.969223755119	3	3
28342	0.351249872567	0.351249872567	-0.987411001634	2	2
30512	0.825876218113	0.825876218113	-0.98050137864	1	1
